1	AllOf	11	213
2	AllowedValues	214	515
3	AllowsChildConcept	516	807
4	AllowsContent	808	1041
5	AllowsTrait	1042	1275
6	AnyOf	1276	1478
7	ChildConstraint	1479	1762
8	ChildPath	1763	1972
9	ChildRules	1973	2418
10	ChildSatisfies	2419	2666
11	CollectionAllowsDuplicates	2667	3129
12	CollectionAllowsEmpty	3130	3469
13	CollectionOrdering	3470	3833
14	CollectionRules	3834	4105
15	ConceptDefinition	4106	4658
16	ConceptDefinitions	4659	4861
17	ConceptOption	4862	5071
18	ConditionalConstraint	5072	5319
19	ConstraintDefinition	5320	5629
20	ConstraintDefinitions	5630	5832
21	ContentConstraint	5833	6397
22	ContentPath	6398	6569
23	ContentRules	6570	6871
24	ContextConstraint	6872	7276
25	Count	7277	7608
26	DescendantPath	7609	7818
27	EachMemberSatisfies	7819	8158
28	EnumeratedConstraint	8159	8368
29	EnumeratedValueSet	8369	8689
30	EnumeratedValueSets	8690	8892
31	ExactlyOneChildOf	8893	9095
32	Exists	9096	9267
33	ForAll	9268	9439
34	ForbidsChildConcept	9440	9649
35	ForbidsContent	9650	9821
36	ForbidsTrait	9822	10031
37	IdentityConstraint	10032	10831
38	Member	10832	11121
39	MemberCount	11122	11583
40	Not	11584	11793
41	OnPathCount	11794	12411
42	OnPathExists	12412	12875
43	OnPathForAll	12876	13340
44	OrderConstraint	13341	13742
45	PatternConstraint	13743	14021
46	RdfGraph	14022	14224
47	RdfTriple	14225	14850
48	ReferenceConstraint	14851	15598
49	RequiresChildConcept	15599	15890
50	RequiresTrait	15891	16124
51	Rule	16125	18351
52	Schema	18352	19489
53	SchemaImport	19490	19737
54	SchemaImports	19738	19940
55	TargetConcept	19941	20150
56	TargetContext	20151	20360
57	Targets	20361	20672
58	Then	20673	20882
59	TraitCardinality	20883	21252
60	TraitDefinition	21253	21795
61	TraitDefinitions	21796	21998
62	TraitEquals	21999	22246
63	TraitExists	22247	22456
64	TraitLessOrEqual	22457	22704
65	TraitMissing	22705	22914
66	TraitPath	22915	23124
67	TraitRules	23125	23503
68	TraitValueType	23504	23751
69	UniqueConstraint	23752	23999
70	ValidatorDefinition	24000	24303
71	ValidatorDefinitions	24304	24506
72	ValueInNumericRange	24507	24838
73	ValueIsNonEmpty	24839	25010
74	ValueIsOneOf	25011	25220
75	ValueIsValid	25221	25424
76	ValueLength	25425	25756
77	ValueMatchesPattern	25757	25997
78	ValueTypeDefinition	25998	26288
79	ValueTypeDefinitions	26289	26491
80	When	26492	26702
